"ccn","title","fac_code","rpa_type","uom_area","uom_other","uom_alt","rqmts_rptg_ind","description","source_page"
"11110","RUNWAY / FW","1111","LS","[SY]","LF","","Y","PREPARED SURFACES FOR THE LANDING AND TAKEOFF OF AIRCRAFT.",""
"11112","RUNWAY/FIXED- WING-UNSURFAC","1114","LS","[SY]","LF","","Y","RUNWAYS FOR ROTARY WING AIRCRAFT THAT DO NOT CONSIST OF A PAVEMENT OR HARDSTAND SURFACE.",""
"11115","RUNWAY / ROTARY WING","1112","LS","[SY]","LF","","Y","PREPARED SURFACES FOR THE LANDING AND TAKEOFF OF HELICOPTERS.",""
"11120","HELICOPTER LANDING PAD","1112","LS","[SY]","","","Y","PREPARED AREA FOR THE HOVERING, VERTICAL TAKEOFF AND LANDING (VTOL) OF HELICOPTERS AND OTHER VTOL AIRCRAFT.",""
"11125","FW A/C (VTOL) LANDING PAD","1111","LS","[SY]","","","Y","A LANDING/TAKEOFF PAD FOR VTOL AIRCRAFT SUCH AS THE HARRIER AND JOINT STRIKE FIGHTER.",""
"11130","RUNWAY OVERRUN - PAVED","1113","LS","[SY]","","","Y","AREAS EXTENDING AT EACH END OF A RUNWAY. THE RUNWAY OVERRUN AREAS ARE REQUIRED TO REDUCE SERIOUS DAMAGE TO AN AIRCRAFT IN THE EVENT THAT THE AIRCRAFT RUNS OFF OF THE RUNWAY END DURING TAKEOFF OR LANDING.",""
"11210","TAXIWAY","1121","LS","[SY]","LF","","Y","TAXIWAYS ARE PAVED SURFACES ON WHICH AIRCRAFT, BOTH FIXED AND ROTARY WING, MOVE UNDER THEIR OWN POWER TO AND FROM LANDING, SERVICE AND PARKING AREAS.",""
"11320","AIRCRAFT PARKING APRON","1131","LS","[SY]","","","Y","PARKING APRONS ARE REQUIRED FOR LOADING, UNLOADING AND SERVICING OF AIRCRAFT AND PROVIDING PARKING SPACE.",""
"11340","AIRCRAFT ACCESS APRON","1131","LS","[SY]","","","Y","AIRCRAFT ACCESS APRONS PROVIDE ACCESS TO AIRCRAFT MAINTENANCE HANGARS FROM THE AIRCRAFT PARKING APRON.",""
"11610","AIRCRAFT WASHRACK PAVEMENT","1163","LS","[SY]","","","Y","AIRCRAFT WASHRACKS ARE PROVIDED AT ALL AIR INSTALLATIONS FOR CLEANING OF AIRCRAFT.",""
